BAK0423-015s	0.2170
BAK0423-016s	0.2323
BAK0423-018s	0.3401
BAK0423-019s	0.1325
BAK0423-020s	0.1490
BAK0423-021s	0.1930
BAK0423-022s	0.1481
BAK0423-023s	0.1335
BAK0423-024s	0.1799
BAK0423-025s	0.2072
BAK0423-026s	0.2130
BAK0423-027s	0.2091
BAK0423-028s	0.2827
BAK0423-029s	0.1757
BAK0423-030s	0.1551
BAK0423-031s	0.1110
BAK0423-032s	0.1823
BAK0423-033s	0.2158
BAK0423-034s	0.2100
BAK0423-035s	0.2041
BAK0423-036s	0.2540
BAK0423-037s	0.4946
BAK0423-038s	0.1918
BAK0423-039s	0.1613
BAK0423-040s	0.1375
BAK0423-041s	0.1574
BAK0423-042s	0.4116
BAK0423-043s	0.1919
BAK0423-044s	0.2992
BAK0423-045s	0.2290
BAK0423-046s	0.1343
BAK0423-047s	0.1404
BAK0423-048s	0.1484
BAK0423-049s	0.1468
BAK0423-050s	0.3274
BAK0423-051s	0.1953
BAK0423-052s	0.3109
BAK0423-053s	0.2599
BAK0423-054s	0.0714
BAK0423-055s	0.4320
Cv5785-01	0.3947
Cv5785-02	0.1218
Cv5785-03	0.1649
Cv5785-04	0.1984
Cv5785-05	0.2779
Cv5785-06	0.1607
Cv5785-07	0.2091
Cv5785-08	0.1935
Cv5785-09	0.1201
Cv5785-10	0.2241
Cv5785-11	0.2248
Cv5785-12	0.2104
Cv5785-13	0.1809
Cv5785-14	0.1879
Cv5785-15	0.1532
Cv5785-16	0.2656
Cv5785-17	0.1636
Cv5785-18	0.2202
Cv5785-19	0.1940
Cv5785-20	0.3827
Cv5785-21	0.1731
Cv5785-22	0.2216
Cv5785-23	0.2201
Cv5785-24	0.0912
Cv5785-25	0.1971
Cv5785-26	0.1485
Cv5785-27	0.1570
Cv5785-28	0.1302
Cv5785-29	0.1470
Cv5785-30	0.4387
Cv5786-01	0.7954
Cv5786-02	0.9998
Cv5786-03	0.8618
Cv5786-04	0.9928
Cv5786-05	0.9998
Cv5786-06	0.9997
Cv5786-07	0.7941
Cv5786-08	0.8020
Cv5786-09	0.9089
Cv5786-10	0.9992
Cv5786-11	0.9805
Cv5786-12	0.9939
Cv5786-13	0.9997
Cv5786-14	0.9998
Cv5786-15	0.8064
Cv5786-16	0.9997
Cv5786-17	0.7167
Cv5786-18	0.9978
Cv5786-19	0.9981
Cv5786-20	0.9981
Cv5786-21	0.8612
Cv5786-22	0.9813
Cv5786-23	0.8740
Cv5786-24	0.9997
Cv5786-25	0.9997
Cv5786-26	0.9993
Cv5786-27	0.9758
Cv5786-28	0.9993
Cv5786-29	0.9996
Cv5786-30	0.9130
EHF0523-001s	0.2926
EHF0523-002s	0.2452
EHF0523-003s	0.2093
EHF0523-004s	0.2683
EHF0523-005s	0.3218
